Screen position for video for 15 participants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1V1 - X, P1V1 - Y,P1V2 - X, P1V2 - Y,P2V1 - X, P2V1 - Y,P2V2 - X, P2V2 - Y,P3V1 - X, P3V1 - Y,P3V2 - X, P3V2 - Y,P4V1 - X, P4V1 - Y,P4V2 - X, P4V2 - Y,P5V1 - X, P5V1 - Y,P5V2 - X, P5V2 - Y,P6V1 - X, P6V1 - Y,P6V2 - X, P6V2 - Y,P7V1 - X, P7V1 - Y,P7V2 - X, P7V2 - Y,P8V1 - X, P8V1 - Y,P8V2 - X, P8V2 - Y,P9V1 - X, P9V1 - Y,P9V2 - X, P9V2 - Y,P10V1 - X, P10V1 - Y,P10V2 - X, P10V2 - Y,P11V1 - X, P11V1 - Y,P11V2 - X, P11V2 - Y,P12V1 - X, P12V1 - Y,P12V2 - X, P12V2 - Y,P13V1 - X, P13V1 - Y,P13V2 - X, P13V2 - Y,P14V1 - X, P14V1 - Y,P14V2 - X, P14V2 - Y,P15V1 - X, P15V1 - Y,P15V2 - X, P15V2 - Y
78.79553,113.4112,118.3639,132.9772,151.4029,227.2147,117.6307,183.9906,84.34328,202.3277,102.9356,187.3607,108.9349,190.2137,89.0225,198.1228,120.2375,205.8073,127.6979,209.8804,101.3273,193.543,124.5376,195.9531,112.585,176.9499,111.8772,146.3203,135.7795,169.6698,101.0026,179.9318,117.2998,169.0026,86.81553,169.4726,164.8086,173.4131,95.47053,181.2281,110.2468,182.994,171.238,167.1347,151.7106,211.9791,75.89893,190.514,120.7528,176.6531,101.4405,187.6007,103.4508,178.9881,91.88428,188.6951,86.22796,97.35651,75.72582,146.9167
81.14608,112.9248,114.9361,131.1857,148.7594,227.3042,112.1714,188.2555,73.03583,201.6886,98.95248,183.4461,106.7323,190.3103,85.82561,194.7865,117.1822,205.3416,128.8323,209.1215,102.0621,192.5832,124.5376,195.9531,112.585,176.9499,108.936,146.5426,127.0343,170.069,97.76818,175.6171,113.692,165.2183,84.1089,170.6774,165.3204,169.0109,95.47053,181.2281,96.23566,180.5824,168.7332,170.2236,138.3,204.058,73.53078,184.1163,114.8964,177.2436,100.7668,187.214,105.5012,188.8967,91.88428,188.6951,84.46704,96.43343,70.24802,143.0324
81.14608,112.9248,108.2365,122.7143,144.7939,227.4384,107.1358,185.9998,73.03583,201.6886,99.30609,188.2642,106.2777,187.455,87.69522,191.4392,114.0949,204.8727,128.8323,209.1215,102.0621,192.5832,120.6604,190.1796,110.2998,177.5186,108.2671,147.6225,111.0678,172.2583,98.63677,171.733,113.692,165.2183,81.41229,171.899,165.3204,169.0109,92.81707,181.8755,88.78841,181.2979,168.7332,170.2236,139.6833,207.095,75.61785,187.6564,107.49,181.5565,103.9463,186.8801,106.5388,187.4539,84.745,198.0105,58.94539,102.3173,70.31975,145.7177
83.66803,123.08,107.6168,115.3559,144.6599,223.473,112.6341,183.1416,73.51691,195.7348,96.09404,188.5,104.0819,187.5511,88.04079,190.6083,113.5443,205.5301,132.4086,208.773,98.66145,192.6899,121.212,190.6758,153.4818,191.6727,112.0996,149.2614,106.6952,172.458,95.77924,166.7399,111.5886,167.0895,81.81043,170.9514,165.5988,174.1723,92.58571,186.7612,86.306,181.5365,167.0427,167.5729,132.4511,210.6928,83.18347,191.2401,106.4071,181.0578,103.9463,186.8801,100.5131,184.71,88.63916,208.9294,32.29009,113.3729,70.98373,144.6225
81.23843,121.8765,107.5362,114.4464,142.0162,223.5624,113.0188,183.2584,71.81361,191.6334,93.53858,189.1109,103.4283,190.4553,88.04079,190.6083,111.3484,198.3485,181.5599,213.0096,98.66145,192.6899,118.274,194.9675,217.9207,212.2749,174.4957,182.1228,105.2376,172.5244,97.52036,171.1371,111.2283,169.9167,81.41229,171.899,165.5988,174.1723,94.07484,193.0443,85.88979,182.5278,164.538,170.6616,80.92336,214.561,84.19064,186.8132,104.943,181.2053,98.80196,188.0514,84.73329,186.2015,102.0301,205.5086,31.15641,118.5446,70.98373,144.6225
78.65132,111.6892,102.4223,103.9947,139.3726,223.6519,108.3716,185.0025,72.81094,185.9296,90.32445,189.332,106.8579,191.0597,88.04079,190.6083,108.2289,197.8448,231.2079,216.5718,96.47144,188.3563,115.9195,195.4085,229.8948,216.0921,232.7936,213.0793,105.2376,172.5244,97.76818,175.6171,111.6739,169.042,80.56816,165.0091,139.8842,177.2844,85.69997,195.3629,86.51054,179.2313,164.538,170.6616,33.65294,215.8304,80.92499,186.2655,103.4789,181.353,99.01004,185.7912,89.05369,184.7283,88.99941,192.8789,28.94371,113.3695,70.98373,144.6225
78.65132,111.6892,102.1157,100.3346,154.1178,234.3719,108.6844,180.972,71.81361,191.6334,90.32445,189.332,106.8569,182.9118,88.04079,190.6083,122.2655,220.9471,231.2079,216.5718,96.48074,185.7963,115.4246,192.0472,227.1778,220.6469,237.7295,213.6971,109.6103,172.3248,97.76818,175.6171,110.1133,165.5859,74.33183,152.2703,108.4302,179.6989,82.99272,195.7964,86.51054,179.2313,160.9124,170.4144,30.05585,216.2299,72.90079,189.3663,103.4789,181.353,101.1208,184.4182,106.492,185.6407,81.26202,193.6902,28.7751,108.2364,70.24802,143.0324
78.65132,111.6892,102.6983,100.949,167.7535,243.2404,109.1826,177.2277,64.44467,199.5988,90.32445,189.332,105.6582,177.1346,86.26941,189.9334,145.063,236.2597,230.5369,215.4579,96.48074,185.7963,114.5065,187.1379,223.6794,219.2553,235.9518,216.3091,104.6525,173.5827,97.76818,175.6171,122.0422,164.3604,73.66537,146.5198,107.2866,172.3747,84.35267,203.003,84.03848,179.4767,156.8478,172.2598,27.75759,214.0661,72.61971,186.5087,96.15836,182.0912,94.39853,185.7351,100.9589,182.1544,90.46403,199.0187,31.51029,113.2852,71.34182,143.7
78.79553,113.4112,103.318,108.3074,162.8859,235.7491,102.338,181.52,68.1427,195.5991,87.12598,184.0558,100.8316,178.1044,84.98573,190.4383,149.2935,235.7397,229.2598,214.3511,95.62682,189.7862,114.0354,187.7023,222.7497,209.575,234.6944,212.4401,100.865,172.7239,97.52036,171.1371,141.496,165.9782,75.56572,142.8028,102.1529,172.6752,87.6587,206.7619,77.6128,177.6183,156.5534,169.452,21.65243,213.2057,69.48103,183.9322,93.23016,182.3865,88.0711,182.5146,92.53142,177.3988,86.70387,191.7818,58.33286,108.5502,53.58842,156.4172
77.21782,115.2774,103.2404,116.2613,155.9968,235.5809,99.5674,181.5745,67.91395,196.1382,85.18875,188.6693,98.09257,180.7184,84.1473,190.0878,147.0647,233.4554,221.4219,214.5409,93.56931,190.1207,112.4895,186.6553,225.6756,209.4287,236.2092,205.9515,100.209,172.3433,95.77924,166.7399,150.0977,166.4859,73.2655,143.0693,93.59689,173.176,87.52679,205.0634,75.45014,175.5996,139.412,168.4104,15.97396,212.8214,65.47571,187.2114,94.07425,179.9581,85.47849,183.0443,91.79927,178.7616,61.55011,191.3603,82.87286,96.03551,36.4729,168.8533
73.91817,117.2876,94.73971,116.4404,160.0133,241.439,106.4393,178.6675,62.21015,195.1409,86.81149,194.0253,99.82264,180.3454,83.79846,190.9297,147.6607,235.9938,220.1382,213.9834,91.014,191.3868,112.4895,186.6553,226.5877,208.8941,232.8122,206.6828,100.7985,171.2665,95.77924,166.7399,150.0977,166.4859,73.18739,147.5024,94.40936,165.9326,92.62225,204.6677,75.018,176.6276,112.7374,171.207,9.598166,206.0622,65.27113,187.799,94.39897,179.3105,83.61706,186.1766,91.9862,186.0145,31.79812,189.6951,81.8595,90.65189,36.4729,168.8533
78.78997,117.906,98.26398,114.2909,170.2414,248.0918,106.4393,178.6675,62.21015,195.1409,86.45789,189.2072,142.2682,180.3805,81.6773,191.0903,145.6281,240.7872,219.4047,213.4728,91.00477,193.9375,112.5372,180.8615,268.8905,171.4228,230.4862,201.9096,101.4576,171.6522,103.6588,173.7933,145.9241,167.4387,71.2043,147.3972,93.29639,168.0425,152.6691,210.8446,75.018,176.6276,100.2493,173.9355,0.5,201.2782,65.19465,184.3539,76.86988,184.6312,80.43456,186.4963,88.49995,191.5477,31.79812,189.6951,82.12518,89.78328,32.53434,166.9993
112.6334,109.9092,101.7882,112.1415,174.7678,252.8904,106.4393,178.6675,63.30832,190.8378,87.71029,184.2712,227.2386,186.563,78.49556,191.3314,145.5349,238.9776,217.8456,214.8894,88.93118,194.2477,109.6283,182.2861,316.1266,127.6574,255.5349,174.1377,100.865,172.7239,106.809,184.7064,145.9241,167.4387,68.51419,144.2228,93.19326,173.9426,210.8994,224.7278,74.81167,177.1767,94.48641,173.1204,0.5,198.9405,69.48103,183.9322,48.43351,192.8197,77.7632,185.5067,91.89274,182.388,32.09403,188.2681,79.34785,83.4511,33.76696,167.5766
213.6816,109.0513,153.5811,108.2225,170.5534,253.7198,100.0775,177.796,61.40332,183.935,85.18875,188.6693,272.2526,184.5937,78.49556,191.3314,143.632,237.2612,217.4656,216.5975,86.71223,191.1915,106.7314,182.2621,323.272,122.91,294.9402,133.6039,100.865,172.7239,95.76829,159.5583,146.5126,167.8736,66.89324,143.5906,90.18415,180.9529,211.0107,228.7001,72.89305,177.6197,91.237,169.2029,4.111613,198.6392,70.30311,183.5683,44.89521,196.3179,77.25207,186.816,92.64361,182.8398,39.13827,195.0249,76.69351,77.74658,33.76696,167.5766
291.1323,119.1912,268.8914,105.9466,165.2676,253.9185,96.79684,181.629,60.40599,189.6388,82.31893,193.7472,270.5883,177.6019,76.3744,191.4921,141.8224,237.3545,214.0674,218.7056,85.91724,190.093,106.7314,182.2621,321.0638,122.5259,314.264,120.3331,100.865,172.7239,89.89498,141.6015,143.8818,165.7331,67.16724,145.889,89.78734,174.1411,211.3377,223.9992,67.96266,178.0901,91.08982,167.799,350,0.5,65.41582,183.8062,41.9646,196.6011,76.75324,188.1286,89.05369,184.7283,57.47462,207.4424,78.20424,84.0916,45.80865,159.9777
291.1323,119.1912,333.4904,96.79372,164.1488,251.9263,96.87865,185.7849,61.40332,183.935,80.3487,189.0261,267.4286,174.9046,74.5978,190.7823,203.8981,224.5584,214.0674,218.7056,85.42392,191.0616,104.3682,187.0128,318.3572,127.0614,313.9209,124.6279,98.82458,173.8729,83.74177,152.076,141.496,165.9782,68.16801,146.3653,85.16193,169.6915,214.0371,223.2863,63.03228,178.5605,91.33572,175.9261,350,0.5,102.3953,197.0622,36.10338,197.1675,77.41193,188.4072,79.98537,184.9152,62.83247,201.9163,75.60114,82.90634,66.95531,144.7147
291.1323,119.1912,332.0086,93.35342,162.6928,248.0057,90.74411,184.1674,62.5015,179.6319,80.3487,189.0261,267.4286,174.9046,76.3744,191.4921,291.4156,206.9593,211.4678,216.0758,86.21296,193.4389,103.8225,183.6868,318.5035,129.9873,305.7845,123.2351,98.82458,173.8729,79.26405,152.3428,139.1103,166.2232,68.16801,146.3653,76.64253,170.1465,215.4578,224.1756,59.37059,177.1391,93.07316,176.7103,350,0.5,157.8413,238.8755,30.13836,202.0596,76.93237,183.6335,76.35805,184.99,62.83247,201.9163,75.00605,76.79619,68.2366,141.9984
291.1323,119.1912,331.8915,94.6171,164.1488,251.9263,87.97402,184.2329,61.98625,184.1359,81.63979,189.5608,268.2407,174.3947,76.3744,191.4921,313.7232,196.9819,207.1168,215.9348,86.69362,193.7514,104.8872,178.5092,321.4295,129.841,307.5453,127.5357,97.36761,173.9454,79.26405,152.3428,139.1103,166.2232,68.16801,146.3653,76.91549,175.2582,218.0313,221.7598,56.35464,177.2325,91.237,169.2029,350,0.5,169.8446,250.2687,26.04133,205.4307,75.43948,181.5683,76.28326,181.3627,69.92016,190.92,72.63635,74.67899,66.95531,144.7147
291.1323,119.1912,332.7672,102.4568,162.6928,248.0057,89.82572,189.1929,58.7027,185.5374,78.42774,189.7966,268.2407,174.3947,74.25326,191.6528,310.3413,197.8226,207.7743,216.9298,86.71223,191.1915,102.0022,178.4856,321.4295,129.841,307.8398,131.9343,94.45367,174.0905,79.26405,152.3428,139.8889,166.6897,74.71234,152.5581,76.91549,175.2582,214.7511,223.7328,56.89682,177.376,87.02524,169.6445,315.3492,118.9045,162.027,224.0033,23.48204,204.3032,60.68857,188.2085,79.91058,181.2879,64.394,185.5622,65.78489,72.57021,64.26968,144.7763
286.8484,109.1952,337.0155,109.4362,129.9859,219.9995,92.45614,190.5636,61.10076,179.7328,75.21568,190.0323,269.0576,173.8812,74.25326,191.6528,310.3413,197.8226,207.7743,216.9298,84.62804,193.9144,102.6203,177.4635,321.4295,129.841,305.7037,131.8784,94.45367,174.0905,79.26405,152.3428,139.4265,167.4669,79.97505,157.7414,76.91549,175.2582,212.7781,220.4527,57.20143,175.1877,85.64307,173.2452,306.434,116.2496,163.3511,218.756,23.48204,204.3032,45.29173,194.6474,88.07935,175.2286,73.49207,187.2359,60.23833,65.974,61.64557,147.5234
283.7782,100.4831,336.9648,110.8634,93.96943,187.7868,92.26675,180.9046,63.19716,181.2375,74.86206,185.2143,269.0576,173.8812,74.0122,188.471,303.1028,198.1957,205.9845,217.095,82.08658,191.3545,95.80328,176.7672,319.38,131.269,305.4274,127.4773,94.10057,174.7368,78.9782,153.0967,139.8374,166.8795,77.68398,158.0136,77.18842,180.3698,215.0621,219.0801,53.26241,173.0897,88.43988,172.953,304.9044,123.5588,165.5619,222.0882,24.66413,201.231,42.11221,194.9814,87.98589,171.6022,73.85508,186.51,60.61311,71.43649,60.88635,142.3943
283.7782,100.4831,334.2022,105.9048,81.72872,178.9839,91.22839,180.3528,63.19716,181.2375,79.99184,184.186,284.1355,164.362,73.82488,188.9014,296.051,202.1881,203.192,212.7069,82.61015,186.5497,77.8933,166.0907,315.7969,134.5226,302.6558,120.4989,90.08278,174.3081,76.67182,152.0615,140.6146,167.3411,78.09228,161.4502,70.11993,169.735,209.9666,219.4759,113.182,167.2817,88.28197,168.0934,303.4869,125.8189,167.2718,224.8052,21.73351,201.5142,41.94524,193.3916,79.01321,175.4623,73.5201,189.0499,60.61311,71.43649,60.83509,139.7083
283.7782,100.4831,337.2126,99.6424,85.41786,176.8313,85.85087,188.7736,60.09457,182.0443,142.9124,179.5468,299.2132,154.8428,73.53675,190.8594,296.051,202.1881,199.1659,212.8904,79.827,189.5757,68.25089,156.8442,315.6005,133.7303,306.1838,119.1995,87.88014,176.2379,76.00559,153.273,141.6186,167.1711,81.52892,161.0419,62.88395,157.2796,205.2177,218.3307,194.5459,161.015,85.47412,168.3878,301.5569,123.9412,350,286,21.73351,201.5142,57.00814,183.7731,79.01321,175.4623,72.06003,188.3618,59.71917,72.53387,57.5249,143.5872
